LCD,PLD,Surface area (m2/g),Porosity,CO-Henry  (mol/kg/Pa),Halogen%,Ametal%,Metalloid,C,H,O,Metal,N,TDU,O to Metal ratio,electronegative atoms to total atoms ratio,0.1 bar-CO (mol/kg)
4.64022,4.09997,1422.49,0.5262,9.94785E-06,0,0,0,53.06122449,32.65306122,8.163265306,2.040816327,4.081632653,577,6.736842105,0.119551681,0.097742054
6.3306,4.52097,1176.44,0.5702,2.92369E-06,0,0,0,35.29411765,35.29411765,0,5.882352941,23.52941176,181,0,0.220994475,0.028937381
6.43864,4.7481,1159.23,0.5758,2.89253E-06,0,0,0,35.29411765,35.29411765,0,5.882352941,23.52941176,181,0,0.220994475,0.028623163
8.7931,6.77287,1533.66,0.6144,5.7289E-06,0,0,0,52.5,30,15,2.5,0,1081,11.07692308,0.14968815,0.056601905
8.80212,6.81408,1588.47,0.614,5.31487E-06,0,0,0,52.5,30,15,0,0,1081,11.07692308,0.14968815,0.052233916
8.32882,6.54754,1605.18,0.61,5.4143E-06,0,0,0,52.5,30,15,2.5,0,1081,11.07692308,0.14968815,0.053400803
8.81515,6.86051,1637.43,0.619,5.5273E-06,0,0,0,52.5,30,15,2.5,0,1081,11.07692308,0.14968815,0.054425656
8.79334,6.74118,1513.94,0.6104,5.34186E-06,0,0,0,52.5,30,15,2.5,0,1081,11.07692308,0.14968815,0.052852826
5.92566,5.81418,348.21,0.4054,2.0261E-06,0,0,0,31.57894737,21.05263158,42.10526316,5.263157895,0,641,15.42168675,0.399251404,0.019792825
7.73482,5.71785,1668.18,0.588,2.9855E-06,0,0,0,58.06451613,19.35483871,0,3.225806452,19.35483871,1441,0,0.187134503,0.029594907
7.35231,4.95529,1409.83,0.58552,3.6583E-06,0,0,0,45.71428571,35.71428571,13.57142857,2.142857143,2.857142857,625,11.25925926,0.163846839,0.036718316
6.77693,6.25183,759.804,0.5056,2.39303E-06,0,0,0,34.375,12.5,34.375,6.25,12.5,577,10.50746269,0.467380721,0.023883731
5.63222,4.90729,953.171,0.568,5.06754E-06,0,0,0,45.45454545,13.63636364,36.36363636,4.545454545,0,817,15.05882353,0.362606232,0.050427447
6.16099,5.90611,2090.61,0.6752,4.20304E-06,0,0,0,47.61904762,9.523809524,38.0952381,4.761904762,0,649,14.76923077,0.37944664,0.041590424
12.48057,8.64841,3204.15,0.7613,4.28113E-06,0,0,0,50.89285714,32.14285714,11.60714286,2.678571429,2.678571429,313,6.933333333,0.141906874,0.042499628
13.7317,8.55216,1723.68,0.69954,1.14256E-05,0,0,0,45.11278195,36.09022556,9.77443609,2.255639098,6.766917293,289,6.933333333,0.164485981,0.107524381
13.59793,8.32661,2502.53,0.73366,5.60813E-06,0,0,0,49.48453608,30.92783505,13.40206186,3.092783505,3.092783505,265,6.933333333,0.163682864,0.056523776
8.31511,4.54136,870.726,0.62074,8.96796E-06,0,0,0,44.7761194,26.86567164,19.40298507,4.47761194,4.47761194,1345,8.404040404,0.238472287,0.088169735
6.6487,5.98664,1536.82,0.60684,4.80891E-06,0,0,0,58.49056604,24.52830189,11.32075472,1.886792453,3.773584906,1569,10.97142857,0.147891392,0.047861559
9.74824,6.48486,1871.61,0.64102,1.90567E-06,0,0,0,35.03649635,23.35766423,12.40875912,5.839416058,23.35766423,513,4.059701493,0.337059329,0.018833597
7.12611,4.89301,423.782,0.4314,2.26755E-06,0,0,0,26.96629213,33.70786517,26.96629213,5.617977528,6.741573034,325,9.290322581,0.325497288,0.02226876
12.44175,5.68721,1267.44,0.67678,3.05922E-06,0,0,0,38.70967742,0,52.68817204,8.602150538,0,289,11.2,0.481572482,0.030773836
12.29122,5.45987,1207.26,0.6596,2.75596E-06,0,0,0,38.70967742,0,52.68817204,8.602150538,0,289,11.2,0.481572482,0.027352125
13.33719,7.45468,1944.95,0.74966,3.05581E-06,0,0,0,52.17391304,0,36.23188406,11.5942029,0,289,5.714285714,0.321543408,0.030585152
7.84676,5.60251,1609.53,0.6193,5.20347E-06,0,0,0,75,0,16.66666667,4.166666667,4.166666667,865,7.111111111,0.199004975,0.052528511
9.48255,9.1997,928.923,0.5582,2.16821E-06,2,0,0,48,30,12,2,6,529,10.10526316,0.195360195,0.021585926
5.94406,5.31262,1808.02,0.5828,7.68737E-06,0,0,0,50.90909091,36.36363636,7.272727273,1.818181818,3.636363636,721,6.956521739,0.106856634,0.076250414
5.04792,4.38484,814.426,0.5004,5.52266E-06,0,4.12371134,0,35.05154639,35.05154639,14.43298969,3.092783505,8.24742268,307,8.4,0.219269103,0.05437016
7.87306,5.02701,2004.72,0.6338,4.06215E-06,0,0,0,43.38624339,38.0952381,14.28571429,1.587301587,2.645502646,1105,16.61538462,0.169088507,0.040587672
18.75501,13.37911,3463.71,0.8336,2.23141E-06,0,0,0,49.12280702,28.07017544,14.03508772,1.754385965,7.01754386,241,10.66666667,0.208695652,0.022508293
4.82905,4.48972,648.979,0.4596,4.85449E-06,0,0,0,49.18032787,39.3442623,6.557377049,1.639344262,3.278688525,721,6.956521739,0.096540628,0.048092713
